Eval. 1 / Eval. 2,xh,zu,af,ig,sn,ts,st,nso,tn,am,bm,Avg. (%)
Typical / Typical,2755,2832,2229,1738,3226,2946,3035,3535,2998,2830,2035,74.6251299054783
Typical / Not sure,26,70,60,3,306,5,1,14,0,0,286,1.9077547384569702
Typical / Strange,6,267,335,965,68,160,3,76,1,34,69,4.909189884693423
Typical / D.U.,1,43,3,0,18,2,1,0,0,1,1,0.17320730439946552
Not sure / Typical,394,51,246,514,26,337,106,6,467,787,498,8.49210669569951
Not sure / Not sure,7,1,12,1,5,3,0,0,0,0,107,0.336517048547533
Not sure / Strange,0,0,41,300,5,23,0,2,0,8,30,1.0120255357054486
Not sure / D.U.,1,0,1,0,1,0,0,0,0,0,1,0.00989756025139803
Strange / Typical,208,356,593,87,14,158,514,36,205,14,431,6.473004404414312
Strange / Not sure,3,0,24,0,3,0,0,0,0,0,97,0.3142475379818875
Strange / Strange,4,26,85,61,2,20,3,2,1,0,48,0.6235462958380759
Strange / D.U.,0,0,1,0,0,0,0,0,0,0,7,0.01979512050279606
D.U. / Typical,248,28,34,3,0,11,11,1,2,0,47,0.9526401741970605
D.U. / Not sure,10,0,3,0,0,0,0,0,0,0,11,0.05938536150838818
D.U. / Strange,10,0,7,2,0,9,0,2,0,0,6,0.08907804226258227
D.U. / D.U.,1,0,0,0,0,0,0,0,0,0,0,0.0024743900628495076
Appropriate + Good,2732,2811,2229,1737,3224,2863,3019,3506,2995,2829,2028,74.16489335378829
Inappropriate + Good,723,659,1240,1520,327,547,548,64,617,831,1238,20.572078982530805
