Eval. 1 / Eval. 2,xh,zu,af,ig,sn,ts,st,nso,tn,am,bm,Avg. (%)
Good / Good,2406,1349,2522,1357,2561,2474,2952,3076,2941,2813,1751,64.83396842678279
Good / Understandable,552,771,353,1637,126,136,4,167,59,51,306,10.29841144157965
Good / Wrong,24,39,36,369,36,11,0,42,3,1,27,1.4549413569555105
Understandable / Good,312,898,455,106,689,674,605,290,597,778,967,15.76433909041421
Understandable / Understandable,185,452,139,157,175,126,6,37,15,18,242,3.840253377542436
Understandable / Wrong,3,33,20,32,39,6,0,21,2,2,15,0.4280694808729648
Wrong / Good,88,68,80,4,26,186,106,12,52,11,249,2.1824120354332655
Wrong / Understandable,100,61,56,8,7,49,1,2,2,0,99,0.9526401741970605
Wrong / Wrong,4,3,13,4,15,12,0,27,3,0,18,0.24496461622210125
Considered Good,3455,3470,3469,3257,3551,3410,3567,3570,3612,3660,3266,94.7369723363191
Considered Wrong,219,204,205,417,123,264,107,104,62,14,408,5.263027663680902
