,xh,zu,af,ig,sn,ts,st,nso,tn,bm,am
Total Appropriate,1371.0,1339.0,1086.0,809.0,1546.0,1379.0,1452.0,1702.0,1433.0,1016.0,1369.0
GPT-4.0 App. Accuracy,65.6,69.3,81.7,60.7,71.8,64.1,68.2,64.7,64.8,51.4,60.0
GPT-4 App. Accuracy,61.6,65.5,80.0,60.7,67.4,59.3,65.4,58.8,60.1,52.2,51.6
GPT-3.5 App. Accuracy,51.6,49.8,56.7,51.9,51.1,50.3,49.8,50.6,50.7,49.7,50.4
Total Inappropriate,292.0,324.0,609.0,758.0,146.0,255.0,259.0,30.0,303.0,569.0,390.0
GPT-4.0 Inapp. Accuracy,66.2,65.0,76.1,61.3,59.1,63.4,64.2,58.9,62.8,50.7,58.4
GPT-4 Inapp. Accuracy,61.5,59.3,72.7,57.8,59.6,55.0,58.4,58.9,62.2,50.3,49.8
GPT-3.5 Inapp. Accuracy,54.2,50.0,51.6,49.1,51.1,52.0,53.5,54.4,53.8,54.2,51.8
Total Appropriate,1371.0,1339.0,1086.0,809.0,1546.0,1379.0,1452.0,1702.0,1433.0,1016.0,1369.0
GPT-4.0 En App. Accuracy,83.8,85.3,85.3,84.9,84.3,84.3,84.0,83.6,84.6,83.4,83.2
GPT-4 En App. Accuracy,83.1,83.1,84.8,83.0,83.3,83.9,83.7,83.0,83.2,82.1,82.4
GPT-3.5 En App. Accuracy,58.8,58.7,59.9,61.0,59.0,58.9,59.4,58.7,58.6,57.1,58.7
Total Inappropriate,292.0,324.0,609.0,758.0,146.0,255.0,259.0,30.0,303.0,569.0,390.0
GPT-4.0 En Inapp. Accuracy,86.2,80.8,81.8,83.2,76.9,85.0,82.9,93.3,81.7,84.2,86.9
GPT-4 En Inapp. Accuracy,83.2,83.1,79.6,82.6,79.7,79.7,80.2,82.2,83.3,83.9,85.0
GPT-3.5 En Inapp. Accuracy,58.3,60.7,57.3,56.6,57.8,58.7,56.0,55.6,59.3,62.8,59.7
GPT-4.0 Accuracy Diff,-0.6,4.3,5.6,-0.6,12.6,0.7,4.0,5.9,2.0,0.7,1.6
GPT-4 Accuracy Diff,0.0,6.3,7.3,2.9,7.8,4.2,7.0,-0.1,-2.1,2.0,1.8
GPT-3.5 Accuracy Diff,-2.7,-0.2,5.1,2.8,-0.0,-1.7,-3.7,-3.8,-3.1,-4.5,-1.4
GPT-4.0 En Accuracy Diff,-2.4,4.5,3.5,1.7,7.4,-0.7,1.1,-9.7,2.8,-0.9,-3.8
GPT-4 En Accuracy Diff,-0.2,-0.1,5.3,0.4,3.6,4.2,3.5,0.8,-0.1,-1.9,-2.6
GPT-3.5 En Accuracy Diff,0.4,-2.0,2.6,4.4,1.3,0.2,3.5,3.1,-0.7,-5.7,-1.0
GPT-4.0 Accuracy Diff - En,1.8,-0.2,2.2,-2.3,5.3,1.3,2.9,15.6,-0.8,1.6,5.4
GPT-4 Accuracy Diff - En,0.2,6.3,2.1,2.5,4.2,0.1,3.4,-0.8,-2.0,3.9,4.4
GPT-3.5 Accuracy Diff - En,-3.1,1.8,2.5,-1.6,-1.3,-1.9,-7.2,-6.9,-2.4,1.2,-0.3
